i_time,local_time,Stand 13_Torque,Stand 14_Torque,Stand 15_Torque,Stand 16_Torque,Stand 17_Torque,Stand 13_LineSpeed,Stand 13_RPM,Stand 14_LineSpeed,Stand 14_RPM,Stand 15_LineSpeed,Stand 15_RPM,Stand 16_LineSpeed,Stand 16_RPM,Stand 17_LineSpeed,Stand 17_RPM,Stand 18_LineSpeed,Stand 18_RPM,Loop_Height Stand 12-13,Loop_Height Stand 13-14,Loop_Height Stand 14-15,Loop_HeightStand 15-16,Loop_Height Stand 16-17,Loop_Height Stand 17-18,Stand 13 downstream looper lifting command,Stand 14 downstream looper lifting command,Stand 15 downstream looper lifting command,Stand 16 downstream looper lifting command,Stand 17 downstream looper lifting command,Ghost Rolling,STAND_13_ACT_ELONGATION,STAND_14_ACT_ELONGATION,STAND_15_ACT_ELONGATION,STAND_16_ACT_ELONGATION,STAND_17_ACT_ELONGATION,STAND_18_ACT_ELONGATION,Stand 16 current,Stand 18 current,Master speed percentage,Stand 13 current,Stand 14 current,Stand 15 current,Stand 17 current
2024-05-28 07:20:39,2024-05-28 12:50:39,15.861386,4.207921,43.59406,34.71287,41.20792,1008.1782,1653.7524,1089.4456,1540.4357,1255.5742,1382.2574,1429.3861,1462.3168,1727.0891,1273.2278,2024.6732,1316.8119,26.001482,22.744108,18.082117,19.570469,18.08803,16.453537,t,t,t,t,t,f,1.128,1.081,1.152,1.139,1.208,1.173,401.44556,630.6634,89,315.64355,319.66336,566.6139,776.9802
2024-05-28 07:20:40,2024-05-28 12:50:40,16.336538,4.798077,43.01923,34.067307,41.115383,1008.66345,1654.5865,1090.0385,1541.4038,1256.1731,1382.9712,1429.6731,1462.6443,1727.6443,1273.5481,2024.7212,1316.7788,26.111982,22.780066,17.920118,19.440628,18.021578,16.535912,t,t,t,t,t,f,1.128,1.081,1.152,1.139,1.208,1.173,399.05768,634.0289,89,318.01923,320.33655,561.96155,773.5769
2024-05-28 07:20:41,2024-05-28 12:50:41,15.990196,4.401961,43.39216,34.411766,41.009804,1008.94116,1654.7646,1090.1863,1541.5392,1256.3628,1383.0294,1430.0294,1463.1177,1727.8431,1273.8137,2024.9509,1317.0588,26.074696,22.818283,18.097628,19.63574,18.142756,16.580675,t,t,t,t,t,f,1.128,1.081,1.152,1.139,1.208,1.1721667,400.5,630.9804,89,313.549,315.63727,572.0294,772.5
2024-05-28 07:20:42,2024-05-28 12:50:42,16.209524,4.285714,43.219048,34.228573,41.27619,1008.98096,1655.1619,1090.5333,1542.0762,1256.4857,1383.3143,1430.0762,1463.0762,1727.8286,1273.781,2024.9048,1317.0762,26.22896,22.85929,18.020912,19.659954,18.202356,16.828455,t,t,t,t,t,f,1.128,1.081,1.152,1.139,1.208,1.172,398.6,630.3619,89,313.9238,313.10477,567.4762,774.35236
2024-05-28 07:20:43,2024-05-28 12:50:43,15.932039,4.436893,43.728157,34.4466,41.048542,1009.26215,1655.4855,1090.4175,1541.8738,1256.2136,1382.932,1429.932,1463,1727.7961,1273.7767,2024.8544,1317.0486,26.021002,22.932585,18.208162,19.83684,18.30818,16.776464,t,t,t,t,t,f,1.128,1.081,1.152,1.1380389,1.208,1.172,401.0097,628.6699,89,313,313.81552,575.4272,774.4466
2024-05-28 07:20:44,2024-05-28 12:50:44,15.9009905,4.5049505,43.20792,34.366337,41.574257,1009.2277,1655.3168,1090.604,1541.9208,1256.6139,1383.4456,1430.0396,1463.0792,1727.9208,1273.8514,2024.9307,1316.9406,26.095238,22.836424,18.048883,19.826166,18.44904,16.948586,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,398.59406,634.2277,89,312.20792,313.71286,570.34656,784.46533
2024-05-28 07:20:45,2024-05-28 12:50:45,15.971429,4.2285714,43.333332,34.114285,41.2,1009.18097,1655.3143,1090.4952,1541.9524,1256.3143,1383.1523,1429.9905,1462.9143,1727.781,1273.6952,2025.0095,1317.0952,26.078133,22.920992,18.132534,19.88597,18.335123,16.903269,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,399.4381,628.1429,89,314.24762,311.46667,574.50476,772.8381
2024-05-28 07:20:46,2024-05-28 12:50:46,16.08738,4.2815533,43.213593,34.13592,41.417477,1009.1359,1655.1748,1090.6311,1541.8738,1256.4661,1383.2913,1429.8835,1462.8835,1728.0098,1273.835,2024.903,1316.9612,26.24688,22.951458,18.174757,20.060205,18.492485,17.049713,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,396.5631,630.9418,89,311.88348,311.83496,566.0777,775.5534
2024-05-28 07:20:47,2024-05-28 12:50:47,16.158417,4.5346537,43.69307,34.089108,41,1009.1485,1655.2278,1090.495,1542.099,1256.198,1382.8713,1429.7524,1462.6931,1727.6238,1273.6238,2024.8416,1316.8812,26.142385,23.090223,18.363499,20.122532,18.579224,17.114159,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,397.05942,630.34656,89,311.62375,309.69305,572.83167,772.1287
2024-05-28 07:20:48,2024-05-28 12:50:48,15.971154,4.3846154,43.64423,34.384617,41.58654,1009.1442,1655.2885,1090.0962,1541.4712,1256.2019,1382.875,1429.7212,1462.6443,1727.4615,1273.6154,2024.6154,1316.7307,26.123756,23.011105,18.25928,20.327309,18.96065,17.37048,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,400.66345,634.03845,89,310.89423,310.27884,566.75,777.8269
2024-05-28 07:20:49,2024-05-28 12:50:49,16.019608,4.45098,43.235294,33.941177,40.82353,1009.2647,1655.2843,1090.2646,1541.6274,1256,1382.7157,1429.6569,1462.598,1727.4215,1273.3726,2024.8628,1316.8628,26.095772,23.03314,18.302208,20.210815,18.71093,17.186392,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,395.7451,631.65686,89,308.5,312.41177,569.41174,769.89215
2024-05-28 07:20:50,2024-05-28 12:50:50,15.895238,4.542857,43.285713,34.07619,41.142857,1009.0762,1655.1523,1090.3905,1541.8,1256.2667,1382.9143,1429.5619,1462.5048,1727.3905,1273.3905,2024.6666,1316.7238,26.092388,22.98699,18.350983,20.3899,19.035423,17.352839,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,396.51428,631.4762,89,306.9619,309.20953,566.5619,771.88574
2024-05-28 07:20:51,2024-05-28 12:50:51,16.271845,4.504854,42.86408,33.85437,40.84466,1008.74756,1654.6407,1089.8738,1540.9902,1256.1068,1382.7281,1429.4369,1462.4175,1727.2621,1273.301,2024.4855,1316.5825,26.115316,23.12758,18.379795,20.274971,18.919798,17.411625,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,393.90292,628.5922,89,312.13593,305.94174,561.4466,767.5437
2024-05-28 07:20:52,2024-05-28 12:50:52,15.80198,4.2376237,43.10891,33.82178,41.0297,1009.0297,1655.0396,1090.2574,1541.6238,1255.8812,1382.6238,1429.4554,1462.3663,1727.099,1273.2673,2024.3168,1316.505,25.985855,23.029146,18.366821,20.467272,19.166878,17.479898,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,395.40594,628.8218,89,310.52475,311.60397,562.1782,770.21783
2024-05-28 07:20:53,2024-05-28 12:50:53,16.115385,4.5,42.817307,33.442307,40.451923,1008.8269,1654.7404,1090.3269,1541.5769,1255.9519,1382.6443,1429.3654,1462.2693,1727.1154,1273.2693,2024.1731,1316.4807,26.132652,23.099945,18.336472,20.319307,19.010662,17.493742,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,392.66345,629.3461,89,308.69232,307.96155,560.8461,762.7692
2024-05-28 07:20:54,2024-05-28 12:50:54,15.862745,4.392157,43.009804,33.627453,40.67647,1008.8823,1654.8334,1090.0491,1541.3334,1255.8334,1382.5785,1429.196,1462.1274,1726.8529,1273.0588,2024.098,1316.4509,25.931171,23.051367,18.445908,20.588234,19.186953,17.60099,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,392.89215,625.35297,89,308.33334,309.85294,563.65686,765.7941
2024-05-28 07:20:55,2024-05-28 12:50:55,15.980952,4.2761903,42.228573,33.209522,40.37143,1008.619,1654.5905,1089.9429,1541.0286,1255.8381,1382.6666,1429.0952,1462.0286,1726.8667,1272.9905,2023.981,1316.3429,26.050663,23.113615,18.33713,20.435154,19.250416,17.825129,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,389.8762,623.1429,89,306.97144,303.34286,556.6381,759.18097
2024-05-28 07:20:56,2024-05-28 12:50:56,15.696078,4.470588,42.47059,33.2549,40.137257,1008.4804,1654.1471,1089.4314,1540.3334,1255.5392,1382.3628,1428.8922,1461.8726,1726.6863,1272.8529,2023.8823,1316.3334,25.923702,23.172052,18.501028,20.610079,19.276516,17.758326,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,390.17648,623.82355,89,306.15686,308.0392,561.7353,761.1177
2024-05-28 07:20:57,2024-05-28 12:50:57,15.895238,4.561905,41.971428,32.866665,40.104763,1008.4381,1654.1619,1089.619,1540.6285,1255.5428,1382.2572,1428.7905,1461.7905,1726.6381,1272.8,2023.6571,1316.2667,26.205894,23.290945,18.48658,20.687757,19.543358,17.991049,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,387.77142,624.5143,89,308.72382,310.93332,551.4857,763.9048
